11904,-14464,-30144
512,6080,13120
512,6464,14144
576,6656,14592
576,6784,14784
576,6848,14912
512,6912,14976
576,6848,14976
576,6912,14976
576,6848,15040
512,6912,15104
512,6976,15104
512,6976,15104
512,6912,15040
512,6912,14976
576,6848,14976
576,6848,15040
640,6848,15040
576,6912,15040
576,6912,15104
576,6912,15104
512,6976,14976
576,6976,15040
576,6976,15040
576,6976,15040
576,6912,15040
512,6912,15040
448,6848,15040
512,6848,15040
576,6848,15040
576,6848,15104
576,6912,15104
576,6912,15040
512,6912,15104
576,6912,15104
512,6912,15104
512,6912,15104
512,6848,15040
576,6848,15104
512,6848,15168
512,6848,15104
512,6912,15104
512,6912,15040
512,6912,15104
576,6912,15104
512,6912,15040
576,6912,15104
512,6912,15040
512,6912,15040
576,6912,15040
576,6848,15040
576,6912,14976
512,6976,15040
576,6976,14976
576,6976,14912
512,7040,14976
448,6976,14976
384,6976,14976
512,6912,14976
512,6912,15104
512,6912,15104
512,6976,15040
512,6976,15040
512,6976,15040
576,6976,15040
640,6976,15104
640,6912,15104
704,6912,15040
576,6912,14976
512,6912,14976
512,6912,15040
448,6976,15040
448,6976,15040
448,6976,15040
448,6976,15104
448,6912,15040
448,6848,15104
576,6912,15104
512,6912,15104
576,6976,15104
576,7040,15040
640,6976,14976
576,6912,14976
640,6912,14976
640,6912,14976
640,6976,14976
576,6976,14976
448,6976,14912
448,6976,14976
448,6976,14976
448,7040,15040
448,7040,15040
448,6976,14976
512,6976,15040
576,6976,14976
576,6976,14976
576,6976,14976
576,6976,15040
576,7040,15040
512,7040,14976
512,6976,14976
576,7040,14976
512,6976,14976
448,6976,15040
512,7040,15040
512,6976,15040
512,6912,14976
512,6976,14976
512,6976,14976
512,6976,14976
512,6976,14976
512,7040,15104
512,6912,15040
640,6912,15040
640,6912,15040
576,6976,14976
576,6976,14912
512,6976,15040
512,6912,15104
512,6912,15040
512,6912,15040
576,6976,14976
576,6976,14976
704,7040,14976
576,6976,14976
512,6976,14976
512,6976,15104
512,7040,15040
512,7040,14976
512,7040,15040
512,7040,14976
512,7040,14976
512,7040,14976
576,7040,14976
576,7040,14976
576,7104,15040
576,7168,15040
576,7104,14976
512,7104,14912
448,7040,14912
448,7040,14912
512,7040,14912
512,7040,14976
512,7040,14976
576,7104,14912
576,7104,14976
576,7104,14976
512,7104,14976
448,7040,14976
448,7104,14976
512,7104,14912
448,7040,14912
448,7040,15040
384,7040,14976
384,7104,14976
384,7104,15040
448,7104,14976
512,7104,14976
512,7104,14976
448,7104,14976
512,7040,14912
512,7040,14912
512,7104,14976
512,7040,14912
512,7040,14976
448,7040,15040
448,7040,15040
448,7040,14976
448,7040,14976
512,7040,14976
512,7040,14976
512,7040,14976
512,7040,14976
512,7040,14976
512,6976,14976
512,6976,14912
512,6976,15040
448,7040,14976
384,7040,14976
512,7104,14912
512,7104,15040
512,7104,15040
512,7104,15040
512,7040,14976
512,7040,14976
512,7040,14976
576,6976,14976
448,6976,14976
448,7040,14976
512,6976,14976
512,6976,14912
448,7104,14976
448,7104,14976
448,7104,14976
448,7040,14976
448,7040,14976
448,7040,14976
448,7040,14976
512,7104,14976
512,7040,14912
512,6976,15040
512,7040,15040
512,7040,15040
448,7104,15040
448,7040,15040
448,7104,15040
448,7040,15040
512,7040,15040
512,7040,15040
512,7040,15040
512,7040,14976
448,7040,14912
448,7040,14912
384,6976,14912
448,7040,14912
448,7040,14976
512,6976,14848
512,7040,14912
448,7040,14976
512,7040,14976
512,7040,14976
448,7040,14976
448,7040,14976
448,7104,14976
448,7104,14976
448,7168,14912
448,7040,14912
384,7104,14976
448,7040,14976
448,7104,14912
512,7040,14912
512,7040,14912
512,7040,14976
512,7104,14976
512,7104,14976
