107075,107102,512,6080,13120
123526,123406,512,6464,14144
139817,139900,576,6656,14592
156282,156237,576,6784,14784
172590,172670,576,6848,14912
189097,188864,512,6912,14976
205259,188595,576,6848,14976
214627,188563,576,6912,14976
214254,188542,576,6848,15040
214232,188538,512,6912,15104
214219,188514,512,6976,15104
214224,188506,512,6976,15104
214230,188507,512,6912,15040
214261,188510,512,6912,14976
214254,188509,576,6848,14976
214196,188493,576,6848,15040
214073,188435,640,6848,15040
213897,188369,576,6912,15040
213775,188296,576,6912,15104
213742,188274,576,6912,15104
213731,188276,512,6976,14976
213778,188277,576,6976,15040
213827,188303,576,6976,15040
213827,188303,576,6976,15040
107075,107102,-14064,4784,-3152
123526,123406,-14064,4784,-3152
139817,139900,-14192,4848,-3184
156282,156237,-14240,4912,-3200
172590,172670,-14272,5024,-3168
189097,188864,-14304,5008,-3136
205259,188595,-14384,5088,-3168
214627,188563,-14368,5024,-3168
214254,188542,-14352,5056,-3152
214232,188538,-14400,5024,-3008
214219,188514,-14416,5008,-3040
214224,188506,-14416,4992,-3072
214230,188507,-14416,5008,-3072
214261,188510,-14352,5024,-3040
214254,188509,-14352,4992,-3072
214196,188493,-14320,4944,-3120
214073,188435,-14304,4880,-3104
213897,188369,-14368,4880,-3120
213775,188296,-14336,4896,-3136
213742,188274,-14352,4912,-3152
213731,188276,-14320,4912,-3136
213778,188277,-14320,4816,-2976
213827,188303,-14288,4800,-3056
213904,188349,-14256,4816,-3104
213965,188370,-14320,4816,-3056
214012,188378,-14304,4768,-2992
213992,188377,-14288,4784,-2992
213965,188378,-14320,4784,-2944
213954,188353,-14352,4752,-3040
213905,188344,-14368,4784,-3104
213888,188323,-14304,4880,-3104
213892,188321,-14336,4896,-3120
213922,188332,-14384,4864,-3104
213951,188356,-14368,4880,-3120
213995,188355,-14352,4848,-3040
214023,188374,-14336,4864,-3072
214047,188389,-14272,4896,-3088
214084,188387,-14272,4880,-3088
214085,188366,-14304,4848,-3056
213988,188351,-14336,4848,-3088
213838,188293,-14352,4864,-3120
213672,188230,-14384,4896,-3088
213564,188164,-14416,4912,-3088
213517,188135,-14448,4848,-3040
213509,188133,-14400,4816,-3072
213562,188177,-14368,4784,-3056
213659,188199,-14320,4816,-3024
213767,188236,-14336,4832,-3136
213833,188284,-14368,4784,-3184
213855,188286,-14416,4816,-3168
213848,188302,-14368,4864,-3216
213809,188254,-14304,4848,-3232
213775,188254,-14352,4816,-3216
213760,188221,-14352,4800,-3168
213748,188225,-14384,4784,-3216
213741,188229,-14352,4784,-3152
213757,188214,-14368,4768,-3168
213718,188206,-14352,4720,-3264
213704,188199,-14384,4752,-3184
213662,188174,-14352,4736,-3168
213682,188185,-14288,4736,-3136
213685,188181,-14256,4752,-3168
213647,188165,-14288,4784,-3136
213526,188110,-14288,4768,-3072
213366,188054,-14336,4752,-3088
213186,187961,-14384,4800,-3120
213086,187920,-14368,4784,-3088
213016,187887,-14336,4832,-3072
213002,187876,-14288,4800,-3040
213014,187889,-14272,4848,-3088
213074,187908,-14336,4848,-3072
213113,187933,-14368,4768,-3072
213154,187937,-14368,4800,-3040
213171,187952,-14416,4848,-3072
213163,187949,-14352,4880,-3152
213147,187921,-14304,4880,-3184
213153,187935,-14336,4864,-3136
213122,187921,-14336,4832,-3184
213080,187894,-14352,4816,-3200
213073,187908,-14352,4912,-3248
213092,187894,-14352,4912,-3248
213122,187934,-14336,4896,-3248
213116,187929,-14320,4880,-3248
213124,187919,-14288,4864,-3072
213143,187921,-14176,4816,-3024
213144,187927,-14160,4816,-3264
213089,187895,-14176,4784,-3184
212935,187840,-14192,4832,-3136
212773,187759,-14256,4816,-3120
212608,187684,-14240,4736,-3136
212509,187639,-14320,4768,-3136
212473,187625,-14336,4816,-3072
212473,187640,-14352,4784,-3136
212500,187644,-14368,4832,-3104
212571,187659,-14352,4848,-3120
212615,187682,-14304,4816,-3072
212662,187696,-14304,4832,-3152
212656,187698,-14368,4816,-3120
212635,187677,-14336,4800,-3184
212580,187655,-14320,4848,-3136
212540,187639,-14352,4832,-3136
212515,187623,-14320,4832,-3216
212511,187627,-14304,4880,-3216
212525,187624,-14384,4880,-3232
212519,187615,-14352,4880,-3248
212532,187636,-14320,4912,-3216
212518,187615,-14336,4912,-3200
212549,187620,-14272,4896,-3184
212539,187632,-14256,4880,-3216
212516,187620,-14288,4944,-3280
212414,187580,-14304,4944,-3264
212232,187495,-14336,4944,-3216
212085,187432,-14368,4928,-3152
211989,187388,-14384,4864,-3152
211969,187386,-14368,4848,-3152
211979,187390,-14352,4816,-3104
212015,187392,-14336,4832,-3088
212096,187433,-14368,4816,-3072
212179,187457,-14320,4816,-3104
212214,187493,-14256,4800,-3168
212222,187482,-14288,4832,-3168
212174,187471,-14304,4864,-3136
212156,187447,-14320,4912,-3088
212117,187430,-14336,4880,-3056
212093,187424,-14352,4816,-3136
212091,187413,-14352,4832,-3168
212104,187425,-14352,4800,-3184
212141,187427,-14352,4832,-3168
