0.038493,0.38087,0.96239,6.1354e-06,1.9919e-05,8.5036e-06,1.0429,1.0276
0.038575,0.38164,0.9621,7.1851e-06,3.1879e-05,9.6435e-06,1.0443,1.0269
0.038608,0.38101,0.96228,1.7003e-05,6.4273e-05,1.2341e-05,1.0432,1.0279
0.038808,0.38037,0.96238,2.2029e-05,7.5198e-05,1.3805e-05,1.0443,1.0259
0.038726,0.37955,0.96266,2.2586e-05,9.6137e-05,1.6676e-05,1.0425,1.0262
0.038862,0.37784,0.96327,2.5003e-05,0.00013329,2.0778e-05,1.0448,1.0257
0.039192,0.37763,0.96338,2.8087e-05,0.00013713,2.1912e-05,1.0412,1.0298
0.03914,0.37648,0.96376,3.1189e-05,0.00016054,2.3338e-05,1.0411,1.0294
0.038955,0.37537,0.96402,3.5437e-05,0.00034705,4.5847e-05,1.0413,1.0294
0.038942,0.37489,0.96428,3.5448e-05,0.00034585,4.4938e-05,1.0396,1.0312
0.039022,0.37409,0.96455,3.5028e-05,0.00033756,4.3921e-05,1.0398,1.0312
0.03891,0.37321,0.96461,3.5303e-05,0.00032885,4.4122e-05,1.0396,1.031
0.038857,0.3724,0.96477,3.5498e-05,0.00031954,4.3612e-05,1.0446,1.0277
0.038741,0.37085,0.96518,3.4422e-05,0.00028236,4.0958e-05,1.0428,1.0261
0.038721,0.3708,0.96522,2.4438e-05,0.0002537,3.7974e-05,1.0383,1.0315
0.038476,0.37073,0.96532,1.9337e-05,0.00024811,3.7024e-05,1.0438,1.028
0.038435,0.37106,0.9651,1.8625e-05,0.00023702,3.5437e-05,1.043,1.0286
0.038223,0.3722,0.9647,1.5957e-05,0.00021896,3.3055e-05,1.0436,1.0284
0.037882,0.37203,0.96476,1.2457e-05,0.00021514,3.2715e-05,1.0412,1.0286
0.038016,0.37277,0.96445,9.6064e-06,0.00020068,3.1954e-05,1.0381,1.0317
0.038116,0.3732,0.96423,5.1614e-06,1.4759e-05,8.8189e-06,1.0383,1.0311
0.038261,0.37311,0.96423,5.2042e-06,1.4654e-05,8.7892e-06,1.0382,1.031
0.038349,0.37283,0.96423,5.4181e-06,1.4276e-05,9.0573e-06,1.0381,1.0309
0.03842,0.37264,0.96437,5.4989e-06,1.3749e-05,8.8017e-06,1.0379,1.0315
0.038505,0.3724,0.96438,5.4138e-06,1.4396e-05,8.7762e-06,1.038,1.031
0.038591,0.37215,0.96439,5.3573e-06,1.3955e-05,8.6511e-06,1.0386,1.0304
0.038703,0.37248,0.96432,5.6023e-06,2.1966e-05,9.0789e-06,1.0388,1.0303
0.038917,0.37377,0.96397,6.7306e-06,4.1388e-05,9.6623e-06,1.0389,1.0306
0.039232,0.37511,0.96371,7.4077e-06,6.1975e-05,1.0899e-05,1.0407,1.0296
0.039295,0.37629,0.96339,7.4986e-06,7.2787e-05,1.1964e-05,1.0408,1.0298
